Item,Part / Model,Qty,Unit Price USD,Line Total USD,Rationale,Specs / Source
Flight Controller (FC + power + GPS),Holybro Pixhawk 6C Standard Set,1,189.99,189.99,"H743 DMAMUX assigns independent DMA per rotor output (the F405's structural ceiling). Bundle folds in the PM06 power module and M9N GPS, a generational step up from the BN-880 for EKF position fixes.",STM32H743 480MHz; dual IMUs; PM06 + M9N GPS + cable set included; ArduPilot/PX4. holybro.com
Motors,SunnySky X2814 V3 900KV,4,29.99,119.96,"Stator sized for 11-inch disc loading on 4S, running the prop in its efficient band with thermal headroom where the 52g D2830 sits at the top of its envelope. The foundation for sustained, repeatable autonomous flight.",28mm stator; N48UH magnets; NMB bearings; 108g; rated 11x5.5-11x8 on 3-4S; 50A/680W; adapter incl. ~$30
Battery,CNHL 4S 5000mAh LiPo (65-70C),1,48.00,48.00,"67% more capacity than the 3000mAh pack, converting the X2814's efficiency into materially longer mission endurance. 4S holds the motor voltage ceiling.",14.8V / 4S1P; 65-70C continuous; XT60/XT90. chinahobbyline.com ~$45-50
Companion Power,5V / 5A UBEC,1,9.99,9.99,Dedicated 5V rail for the Pi 4B drawn off the main pack; isolates companion inrush from the FMU bus. 5A clears the Pi 4B's ~3A peak draw.,5V 5A switching; 2-6S input. ~$8-12
Propellers,Gemfan 1147 11x4.7 (2CW + 2CCW),4,2.33,9.32,Fresh balanced blades matched to the X2814. Blade-pass vibration is the dominant corruptor of IMU data and EKF position hold.,11x4.7; fits X2814 adapter
Vibration Isolation,Anti-vibration FC mount (gel pad / damped standoffs),1,9.99,9.99,"Mechanically decouples airframe resonance from the FMU, keeping VIBE under the ~30 m/s2 threshold where altitude and position hold degrade.",Gel pad or damped platform ~$8-12
Propellers (spare),Gemfan 1147 spare pair (1CW + 1CCW),2,2.33,4.66,Props fail first in any mishap; a spare pair keeps a single snapped blade from grounding the program.,11x4.7
TOTAL (purchased),,,,391.91,Grant used; ~$8 headroom under the $400 cap,
REUSED - Companion Computer,Raspberry Pi 4B (owned),1,0.00,0.00,"Same BCM2711 silicon as a CM4, with UART/USB/WiFi/Gigabit-Ethernet built in. Eliminates the CM4 AND the carrier board. Links to the 6C over 3-wire UART (TX/RX/GND) and bridges MAVLink to a laptop GCS over its own WiFi.",Reuse; runs DroneKit/pymavlink on /dev/serial0
REUSED - ESC (4-in-1),HGLRC 60A 4-in-1 (owned),1,0.00,0.00,"BLHeli_S, DShot-capable, 60A/channel; large headroom over the X2814's ~18A hover. Wires to the 6C M1-M4 outputs.",Reuse; stay on 4S
REUSED - Frame,Custom 3D-printed center + CF tube arms (owned),1,0.00,0.00,"Proven airframe; frame swap is premature until electronics fly. NOTE: filament must be PETG/PA-CF/ASA, not PLA, given ~1.5kg AUW.",Reuse; verify filament + VIBE logs
